time,tk_gps_data_value,tk_gps_time_value,tk_airquality_iaqindex_value,tk_airquality_temperature_value,tk_airquality_humidity_value,tk_airquality_airpressure_value,tk_soundpressurelevel_spl_value,tk_humidity_humidity_value,tk_analogin_voltage_value,tk_particulatematter_pm1_0_value,tk_particulatematter_pm2_5_value,tk_particulatematter_pm10_0_value,tk_dual0_20ma_solarlight_value,tk_thermocouple_temperature_value,tk_ptc_airtemp_value,atmos_northwind_value,atmos_eastwind_value,atmos_gustwind_value,atmos_airtemperature_value,atmos_xorientation_value,atmos_yorientation_value,atmos_nullvalue_value,accelerometer_orientation_x,accelerometer_orientation_y,accelerometer_orientation_z,accelerometer_gyroscope_x,accelerometer_gyroscope_y,accelerometer_gyroscope_z,accelerometer_linearaccl_x,accelerometer_linearaccl_y,accelerometer_linearaccl_z,accelerometer_magnetometer_x,accelerometer_magnetometer_y,accelerometer_magnetometer_z,accelerometer_accl_x,accelerometer_accl_y,accelerometer_accl_z,accelerometer_gravity_x,accelerometer_gravity_y,accelerometer_gravity_z,empatica_e4_gsr,empatica_e4_hr,empatica_e4_ibi,x,y,z
2024-05-02 13:20:45,60180.0,2240269.0,203.0,2073.0,4827.0,101734.0,679.2222222222222,5657.12,12.57,0.0,0.0,2.94,12178850.65,0.0,1947.9,1.6949999,0.69,1.8299999,16.8,8.25,-0.75,0.0,167.86,0.51,281.04,-0.099999999394,0.1243999997452,0.0076000004476000005,0.058200000231600005,-0.126399992596,0.07639999245399999,-2.62820002608,-38.3104004,12.926200024,0.1531999960864,9.474800012000001,1.9388000056480001,0.087600000232,9.614000015,1.8745999982000001,0.0147362225,,,-9.1707921,38.70791306,92857.1
2024-05-02 13:20:46,60180.0,2241269.0,203.0,2073.0,4827.0,101734.0,652.734693877551,5655.131313131313,12.85,0.0,0.0,2.0,12228271.282828283,0.0,1948.44,1.735,0.53,1.845,16.849998,10.75,-7.6,0.0,169.7,359.11,281.67,0.1251999997024,-0.060800001836000005,-0.014399999907200001,0.421799994026,0.304800018774,0.42120000859999995,-1.290399993758,-38.690200356,11.884400040000001,0.263599997914,9.879600058800001,2.35039998778,-0.15340000105999999,9.5918000982,1.9598000238,0.0144158725,,,-9.170791981,38.707913674,92852.5
2024-05-02 13:20:47,60180.0,2242269.0,204.0,2074.0,4820.0,101737.0,665.6336633663366,5654.0,12.588235294117647,0.0,0.0,2.0,12188443.774509804,0.0,1947.0891089108911,1.63,0.33,1.67,16.9,-1.2,-6.2,0.0,176.19,359.06,280.69,-0.0506000000916,-0.117399999716,-0.017400000008000002,0.5023999929,-0.46520000944,-0.35760000216000004,1.3634000154,-37.76480066,12.769399911999999,0.36380000430000003,9.175800037,1.4769999961523999,-0.16140000064799997,9.627600002000001,1.8133999943999999,0.01761939,,,-9.170791955,38.707913991,92771.0
2024-05-02 13:20:48,60180.0,2243269.0,204.0,2074.0,4820.0,101737.0,679.9090909090909,5653.1,13.05,0.0,0.0,2.0,12073558.188118812,0.0,1947.24,1.39,-0.305,1.425,16.849998,-9.05,6.2000003,0.0,176.85,359.39,279.6,-0.0382000015816,-0.041199999573999994,0.006799999748400001,0.123799995382,0.0967999974584,0.486199994822,2.14220001212,-37.835200358,13.735000035999999,0.015000002219999996,9.748400008800001,2.111400003848,-0.10160000000200001,9.6607999238,1.6277999987999998,0.01409552,,,-9.170792089,38.707914273,92586.7
2024-05-02 13:20:49,60180.0,2244269.0,204.0,2074.0,4820.0,101737.0,671.55,5652.910891089109,12.137254901960784,0.0,0.0,2.0,11930451.02970297,0.0,1947.6764705882354,1.11,-0.37,1.1949999,16.9,-8.05,7.4500003,0.0,172.37,0.09,280.48,0.075400001734,0.065200000302,-0.013200000553599999,0.027400001035600013,0.435600006186,0.377400003462,0.269200003762,-38.663000190000005,13.343599984,0.058600001786,10.0480000414,2.224600000786,0.013999999521200002,9.6344000434,1.7658000086,0.01473622,,,-9.17079224,38.707914312,92451.1
2024-05-02 13:20:50,60180.0,2245269.0,203.0,2076.0,4811.0,101733.0,702.7070707070707,5655.861386138614,12.950495049504951,0.0,0.0,2.69,9107307.05,0.0,1948.6039603960396,1.075,-0.105000004,1.0799999,16.9,-11.65,0.049999952,0.0,170.78,0.29,279.82,0.006800000615999999,0.0769999996876,0.029199999698000002,0.056399994291599996,-0.18239999564399997,0.09979999616600001,-0.40239999486,-38.19659996,13.822600018000001,0.09860000160440001,9.465199993,1.748400000614,0.049399999397199995,9.6565999802,1.6603999998,0.016017629999999998,,,-9.17079237,38.707914256,92382.8
2024-05-02 13:20:51,60180.0,2246269.0,203.0,2076.0,4811.0,101733.0,748.6161616161617,5659.88,13.287128712871286,0.0,0.0,3.0,6720021.108910891,0.0,1949.3762376237623,1.52,0.45499998,1.585,16.9,2.6,-3.7500002,0.0,165.81,0.41,279.53,-0.0510000005804,0.1187999993996,0.039999999594799995,0.022200001209999997,-0.20160001512800005,0.157799999752,-3.2045999948,-38.260600132,14.724600026000001,0.072199994808,9.450200028000001,1.768199992874,0.07220000104999999,9.6625999842,1.6174000046,0.0140955175,,,-9.170792517,38.707914287,92356.5
2024-05-02 13:20:52,60180.0,2247269.0,203.0,2076.0,4811.0,101733.0,767.01,5663.9009900990095,12.49,0.0,0.0,3.92,5037364.7920792075,0.0,1948.009900990099,1.43,-0.16,1.44,16.9,-7.5,11.4,0.0,161.32,359.84,279.53,0.016400001608399998,0.1331999999908,0.022399999799199998,0.35380000234160003,0.061600002954,0.6469999962296,-4.3238000238000005,-38.234600148,15.050799872,0.3446000033792,9.747999952,2.26779999562,-0.027600000382000004,9.6653999346,1.6099999972,0.015056577500000001,,,-9.17079253,38.707914467,92330.7
2024-05-02 13:20:53,60180.0,2248269.0,203.0,2069.0,4822.0,101728.0,727.5102040816327,5668.848484848485,13.34,0.0,0.0,3.5454545454545454,5165209.686868687,0.0,1946.88,1.815,-0.27,1.845,16.9,2.25,1.3,0.0,154.35,359.93,277.71,0.05020000017799999,0.1587999986156,0.036999998999600006,0.103399995302,0.3048000089816,0.595800005896,-6.711600027199999,-37.533999862,16.646199844,0.10279999374799999,10.0213999914,1.892599996998,-0.007400000345600002,9.7099998096,1.3069999966,0.016658335,,,-9.170792326,38.707914572,92254.9
2024-05-02 13:20:54,60180.0,2249269.0,203.0,2069.0,4822.0,101728.0,684.2525252525253,5673.92,374.89,0.0,0.0,1.0,9484752.44,0.0,1944.78,1.9350001,-0.25,1.965,16.9,-6.2499995,2.3,0.0,147.33,359.65,279.26,-0.029199999786,0.013200000005200002,-0.024800000386000002,0.2578000003,-0.14700000376,0.19440000121200002,-9.4525999354,-36.928600164,15.069400022,0.19699999596800002,9.5591999924,1.802400008,-0.0641999992916,9.671800042,1.568599994,0.0150565725,,,-9.170792068,38.707914573,92229.0
