time,tk_gps_data_value,tk_gps_time_value,tk_airquality_iaqindex_value,tk_airquality_temperature_value,tk_airquality_humidity_value,tk_airquality_airpressure_value,tk_soundpressurelevel_spl_value,tk_humidity_humidity_value,tk_analogin_voltage_value,tk_particulatematter_pm1_0_value,tk_particulatematter_pm2_5_value,tk_particulatematter_pm10_0_value,tk_dual0_20ma_solarlight_value,tk_thermocouple_temperature_value,tk_ptc_airtemp_value,atmos_northwind_value,atmos_eastwind_value,atmos_gustwind_value,atmos_airtemperature_value,atmos_xorientation_value,atmos_yorientation_value,atmos_nullvalue_value,accelerometer_orientation_x,accelerometer_orientation_y,accelerometer_orientation_z,accelerometer_gyroscope_x,accelerometer_gyroscope_y,accelerometer_gyroscope_z,accelerometer_linearaccl_x,accelerometer_linearaccl_y,accelerometer_linearaccl_z,accelerometer_magnetometer_x,accelerometer_magnetometer_y,accelerometer_magnetometer_z,accelerometer_accl_x,accelerometer_accl_y,accelerometer_accl_z,accelerometer_gravity_x,accelerometer_gravity_y,accelerometer_gravity_z,humidity,wind_speed,temp_atmos,temp_tk,temp_tk_ptc,temp_radiant,utci,x,y,z
2024-08-27 15:55:16,60180.0,1047168.0,25.0,3115.0,3469.0,100469.0,769.0808080808081,4425.693069306931,10.534653465346535,7.9,12.0,12.0,9404685.099009901,3464.5247524752476,3068.2772277227723,0.725,0.37,0.82000005,30.6,17.650002,10.599999,0.0,300.31,0.62,286.08,0.0623999991424,-0.025199998748,-0.0190000006696,-0.1513999979356,-0.238400008292,0.6242000022096,11.632399617999999,-31.619200059999997,-15.7590000326,-0.032200000035999994,9.1575999528,3.3158000014,0.1035999995168,9.4177998742,2.7000000097999997,44.25693069306931,0.81395644,30.6,31.15,30.682772277227723,34.64524752475248,31.7,-9.131414008,38.726092397,153944.8
2024-08-27 15:55:17,60180.0,1048168.0,25.0,3115.0,3469.0,100469.0,762.3131313131313,4426.65,10.19,7.0,12.0,12.0,9337075.28,3466.7,3070.42,0.625,0.155,0.65,30.6,5.5499997,7.0,0.0,296.76,1.87,285.47,0.0844000002584,0.11960000109239999,0.0444000003964,-0.3279999938676,0.087799996316,0.49099999249,-18.650399954,-32.425200134,-24.35339982,-0.010600002659999998,9.5232000152,3.1426000074,0.32179999706800005,9.4367999844,2.5972000129999997,44.26649999999999,0.64393324,30.6,31.15,30.7042,34.667,31.7,-9.131413694,38.726093575,154007.6
2024-08-27 15:55:18,60180.0,1049168.0,25.0,3115.0,3469.0,100469.0,767.3,4426.0,10.686274509803921,7.0,11.64,11.64,9069115.078431373,3464.5940594059407,3073.5643564356437,0.98,0.80999994,1.285,30.650002,15.700001,-1.45,0.0,291.6,1.53,282.92,0.0172000003812,0.074800000822,0.0494000001484,-0.3332000003848,-0.28500000860200003,0.2589999962892,-11.3006000656,-33.840599898,-17.589200036,-0.0809999993984,9.301200009,2.4829999952,0.264399999382,9.5484000188,2.1772000156,44.26,1.2714165,30.650002,31.15,30.735643564356437,34.645940594059404,31.5,-9.13141354,38.726094248,154068.4
2024-08-27 15:55:19,60180.0,1050168.0,24.0,3139.0,3447.0,100475.0,767.76,4424.534653465346,10.138613861386139,7.0,11.0,11.0,9004269.45,3465.227722772277,3075.3465346534654,0.69,1.03,1.24,30.8,12.2,11.7,0.0,279.91,3.52,282.45,-0.047000000396399996,0.2975999973272,0.1016000004156,-0.505999990876,-0.29160000292,0.537799999942,-6.277000042201999,-34.708800364,-11.114800049600001,0.09979999476,9.254199999999999,2.637599991,0.60479999722,9.5470000268,2.1017999958,44.245346534653464,1.239758,30.8,31.39,30.753465346534654,34.65227722772277,31.7,-9.131413237,38.726094868,154027.5
2024-08-27 15:55:20,60180.0,1051168.0,24.0,3139.0,3447.0,100475.0,759.7171717171717,4420.52,377.96039603960395,7.0,11.0,11.0,9145467.89108911,3467.2475247524753,3078.19801980198,0.045,0.65,0.655,30.9,14.700001,1.2999997,0.0,270.91,4.9,282.02,0.047200000735999996,0.2087999985224,0.0789999994788,-0.20340000205400002,0.06359999571399999,0.471199998566,2.1356000112199998,-34.927000202,-4.9754000035,0.6382000002643999,9.6101999964,2.4958000034,0.83919998972,9.5461999892,2.0237999776,44.205200000000005,0.6515558,30.9,31.39,30.781980198019802,34.67247524752475,32.0,-9.131412715,38.726095284,154051.0
2024-08-27 15:55:21,60180.0,1052168.0,24.0,3139.0,3447.0,100475.0,791.5360824742268,4415.818181818182,10.43,7.0,11.0,11.0,9142032.47,3469.090909090909,3080.6363636363635,-0.034999996,1.63,1.655,30.8,-0.39999962,8.25,0.0,239.29,5.91,285.45,-0.013399999742400002,0.67639999746,0.155199999858,-0.7990000008664001,-0.015400000824400009,-0.013399999374,2.8989999981,-38.536000142000006,5.34440003662,0.211600000822,9.3786000046,2.5782000044,1.00800000282,9.394399911399999,2.5929999926,44.158181818181816,1.6303757,30.8,31.39,30.806363636363635,34.69090909090909,31.5,-9.131412352,38.726095405,154007.9
2024-08-27 15:55:22,60180.0,1053168.0,23.0,3144.0,3438.0,100467.0,793.7029702970297,4410.1067961165045,10.242718446601941,7.0,11.0,11.0,9028724.74509804,3469.330097087379,3083.776699029126,-0.79,1.05,1.3199999,30.55,12.45,5.15,0.0,198.14,3.73,288.07,0.0640000007056,0.75140000106,0.21079999997119997,-0.456200004012,0.1095999942964,-0.7343999939879999,-6.554000032599999,-39.967200246,11.0776000398,0.186800001632,9.3954000382,2.30639999974,0.6355999958,9.2984000388,3.023999996,44.10106796116504,1.3140014,30.55,31.44,30.83776699029126,34.693300970873786,31.4,-9.131411737,38.726095875,153981.1
2024-08-27 15:55:23,60180.0,1054068.0,23.0,3144.0,3438.0,100467.0,791.030303030303,4404.66,10.891089108910892,6.93,10.86,10.93,8521549.059405942,3466.9504950495048,3086.3960396039606,-1.475,0.705,1.6500001,30.5,9.4,8.049999,0.0,155.64,1.99,285.85,0.08060000008399999,0.7171999960600001,0.1246000003856,-0.6305999999984,0.12900000352,-0.67100000007,-17.228199924000002,-39.180400244000005,3.919400040622,-0.3056000001,9.556400044,1.9778000005199998,0.33299999955559995,9.4206000324,2.6584000152,44.0466,1.6348242,30.5,31.44,30.863960396039605,34.669504950495046,31.2,-9.131411526,38.726096287,154055.8
2024-08-27 15:55:24,60180.0,1055068.0,23.0,3144.0,3438.0,100467.0,778.07,4398.623762376237,10.158415841584159,6.0,9.0,10.0,8462527.366336634,3470.1188118811883,3088.48,-1.29,-0.59,1.42,30.5,13.2,1.9,0.0,139.18,356.08,286.76,-0.1150000005416,0.095400000086,-0.05200000031,0.144999999466,-0.031999999624,-0.19319999889159997,-17.38659996,-43.042599790000004,-5.2471999688,-0.521199997502,9.3141999248,2.6268000058000003,-0.67579999982,9.3571999928,2.8151999946,43.98623762376237,1.4185203,30.5,31.44,30.8848,34.701188118811885,31.3,-9.131411276,38.726096427,154074.4
2024-08-27 15:55:25,60180.0,1056068.0,22.0,3150.0,3425.0,100469.0,784.5757575757576,4392.158415841584,10.584158415841584,6.0,9.0,10.0,8271951.613861386,3467.6732673267325,3091.3366336633662,-1.05,-0.33499998,1.105,30.45,9.45,-0.6,0.0,138.01,354.99,287.83,0.011199999970799998,0.044799999682400005,0.0036000000236000003,0.1364000007156,-0.0157999999676,-0.1476000011236,-15.778000062,-43.636799849999996,-7.593999928000001,-0.7211999964,9.2772000124,2.8323999978,-0.85880000228,9.2958000166,2.9796000392,43.92158415841585,1.1021456,30.45,31.5,30.91336633663366,34.676732673267324,31.4,-9.131410914,38.72609681,154001.4
